Cap_Diameter	Cap_Shape	Cap_Surface	Cap_Color	Bruises_or_Bleeds	Gill_Attachment	Gill_Spacing	Gill_Color	Stem_Height	Stem_Width	Stem_Root	Ring_Type	Habitat	Class
8.8	f	s	u	FALSE	a	c	w	4.51	15.39	NA	f	d	e
4.51	x	h	o	FALSE	a	c	n	4.79	6.48	NA	z	d	p
6.94	f	s	b	FALSE	x	c	w	6.85	9.93	NA	f	l	e
3.88	f	y	g	FALSE	s	NA	g	4.16	6.53	NA	f	d	e
5.85	x	l	w	FALSE	d	NA	w	3.37	8.36	NA	f	g	e
4.3	x	t	n	FALSE	s	c	n	5.91	8.2	NA	z	d	p
9.65	p	y	w	FALSE	e	c	k	19.07	12.69	NA	e	g	e
4.55	x	e	e	FALSE	a	NA	y	8.31	9.77	NA	z	d	p
NA	f	h	e	FALSE	x	d	w	5.77	17.13	b	f	d	p
6.45	x	t	n	FALSE	a	d	w	7.13	12.77	NA	f	d	e
NA	f	t	n	FALSE	s	NA	n	9.14	13	NA	f	d	e
8.3	x	y	n	FALSE	NA	NA	w	6.56	24.11	b	e	d	e
2.74	b	g	n	FALSE	a	d	g	4.33	2.57	NA	f	d	e
6.53	x	y	n	FALSE	e	c	w	6.37	10.29	NA	f	d	e
3.91	b	t	n	FALSE	NA	NA	n	9.81	5.55	NA	NA	g	p
2.82	o	NA	n	FALSE	f	f	f	4.66	25.88	NA	f	d	p
7.65	x	g	n	FALSE	e	NA	w	7.59	15.45	NA	p	d	p
NA	p	NA	n	FALSE	p	NA	p	10.03	33.03	c	f	d	p
0.74	c	g	e	TRUE	a	NA	p	4.92	0.99	NA	f	h	e
7.43	s	d	n	TRUE	d	c	y	6.21	9.49	NA	f	d	p
7.5	f	d	w	FALSE	s	c	w	5.42	19.02	NA	f	d	e
NA	x	g	e	FALSE	a	NA	p	5.81	2.41	NA	f	d	p
4.41	x	s	n	FALSE	p	NA	n	5.79	11.21	NA	f	d	e
10.33	x	i	n	TRUE	e	NA	p	9.01	18.77	NA	l	d	e
5.74	x	NA	g	FALSE	d	c	w	5.23	11.25	b	f	l	p
3.64	b	g	g	FALSE	a	d	g	5.35	3.56	NA	f	d	e
3.03	x	s	w	FALSE	d	d	w	2.72	5.7	NA	f	g	e
NA	x	y	n	FALSE	e	c	w	4.59	10.76	NA	f	d	e
6.2	x	h	y	TRUE	x	c	y	7.06	13.55	NA	f	d	e
3.69	o	NA	w	FALSE	f	f	f	5.01	29.27	NA	f	p	p
11.37	x	e	n	TRUE	p	NA	o	7.72	23.92	NA	f	d	p
7.8	x	NA	n	TRUE	p	NA	g	10.64	23.05	NA	f	d	e
8.69	o	e	r	FALSE	NA	c	o	1.51	14.09	NA	f	d	p
5.06	s	d	o	FALSE	d	c	y	3.19	5.85	NA	f	d	p
5.81	s	l	n	FALSE	f	f	f	6.35	23.1	NA	f	d	e
7.76	x	d	n	TRUE	p	NA	y	8.29	16.74	NA	f	d	e
6.93	f	w	n	FALSE	x	NA	w	14	7.6	r	f	l	p
8.63	s	t	p	TRUE	d	c	p	7.21	12.69	NA	f	d	p
NA	f	y	g	FALSE	s	NA	g	5.96	8.04	NA	f	d	e
7.1	x	w	p	FALSE	s	c	p	4.96	7.01	NA	f	d	p
7.97	f	s	k	FALSE	a	c	w	4.47	14.93	NA	f	d	e
NA	x	t	n	FALSE	s	c	n	5.57	7.98	NA	z	d	p
1.26	x	s	y	FALSE	f	f	f	4.64	5.82	NA	f	d	p
8.05	s	t	p	TRUE	d	c	o	6.78	13.64	NA	f	d	e
7.21	f	t	y	FALSE	x	c	y	5.55	15.39	NA	f	d	p
4.4	f	NA	u	FALSE	a	NA	w	4.43	7.3	NA	f	d	p
6.99	s	d	o	FALSE	d	d	b	5.7	12.4	NA	f	g	e
4.37	b	s	y	FALSE	NA	c	k	9.39	8.22	NA	z	d	p
5.02	x	h	o	FALSE	a	d	w	5.56	4.6	NA	f	d	e
1.87	b	NA	g	FALSE	a	NA	g	5.08	1.89	NA	f	d	p
6.66	x	s	r	TRUE	s	d	w	4.78	13.62	r	f	d	p
3.56	x	t	n	FALSE	s	c	n	5.37	7.7	NA	z	d	p
11.1	s	NA	w	TRUE	d	c	y	6.27	24.82	NA	f	d	e
11.03	x	s	n	TRUE	e	NA	g	10.18	18.37	s	l	m	e
4	f	t	n	FALSE	a	NA	o	6.06	6.87	NA	f	d	e
8.37	x	s	k	FALSE	a	c	w	3.85	12.88	NA	f	d	e
8.33	o	NA	n	FALSE	NA	NA	w	3.66	23.33	NA	f	d	e
3.12	s	d	w	FALSE	a	d	p	3.76	2.46	NA	f	g	p
8.96	x	e	n	FALSE	a	NA	n	10.84	14.67	s	f	h	p
9.22	x	h	y	TRUE	x	c	y	7.88	15.82	NA	f	d	e
5.14	f	k	y	FALSE	p	NA	n	3.17	5.46	NA	f	d	p
5.43	x	NA	n	FALSE	d	c	y	6.4	10.27	b	f	l	p
7.82	x	t	n	FALSE	a	d	w	9.29	31.65	NA	f	d	p
7.16	s	NA	g	FALSE	s	c	p	6.91	19.49	b	f	g	e
3.12	b	y	n	FALSE	NA	c	k	6.43	2.94	NA	f	d	e
3.77	x	d	n	FALSE	p	NA	y	4.37	10.49	NA	f	d	e
3.73	x	i	n	FALSE	p	NA	n	4.42	10.71	NA	f	d	e
4.24	b	t	n	FALSE	NA	NA	k	12.28	7.13	NA	NA	g	p
NA	x	h	o	FALSE	a	c	y	6.19	8	NA	f	g	p
3.38	s	w	u	FALSE	a	c	u	4.77	5.81	NA	f	l	p
3.1	x	t	n	FALSE	s	c	n	4.24	6.4	NA	z	d	p
9.82	x	s	n	FALSE	e	c	w	8.57	10.56	NA	f	d	e
0.74	f	g	n	TRUE	a	NA	w	4.82	1.01	NA	f	d	e
9.6	x	t	n	FALSE	a	d	w	12.07	29.42	NA	f	d	p
9.57	x	s	n	FALSE	e	c	p	5.87	9.12	NA	f	d	e
8	x	y	n	FALSE	s	c	n	6.56	8.58	NA	f	d	p
7.24	x	NA	n	FALSE	x	c	w	8.75	8.99	r	f	h	p
12.56	f	NA	g	FALSE	e	NA	w	11	14.81	NA	g	d	p
7.93	f	y	n	FALSE	NA	NA	w	7.13	23.77	b	e	d	e
14.84	x	g	o	FALSE	e	NA	w	18.28	18.09	s	g	d	p
1.65	x	g	n	FALSE	d	d	n	2.11	2.44	NA	f	h	p
1.66	p	t	n	FALSE	a	c	g	6.42	2.49	NA	e	m	p
NA	b	h	n	FALSE	a	NA	n	4.73	1.46	NA	f	g	p
9.37	x	NA	n	FALSE	p	NA	w	11.11	32.22	c	f	d	p
12.52	x	NA	g	FALSE	e	NA	w	11.06	14.96	NA	e	d	p
7.32	x	s	n	FALSE	s	NA	g	5.37	6.97	NA	f	d	p
1.42	b	h	n	FALSE	a	NA	n	4.37	1.55	NA	f	h	p
0.72	x	NA	y	FALSE	NA	NA	y	3.71	0.84	NA	f	g	p
6.89	f	h	e	FALSE	x	d	w	5.69	16.87	b	f	d	p
4.6	f	s	n	FALSE	NA	c	w	0	0	f	f	d	p
1.62	b	h	n	FALSE	a	NA	n	4.9	1.97	NA	f	h	p
10.84	x	t	n	TRUE	p	NA	y	9.96	24.34	NA	f	d	e
0.86	f	g	e	TRUE	a	NA	w	5.24	0.98	NA	f	h	e
16.98	x	w	n	FALSE	p	NA	y	13.55	23.19	NA	f	d	e
7.06	f	h	r	FALSE	NA	c	w	10.52	14.71	NA	p	d	p
9.61	s	NA	r	TRUE	d	NA	o	5.19	13.14	NA	f	d	p
8.43	x	i	y	FALSE	a	c	n	8.61	7.86	NA	z	g	p
6.96	x	d	y	TRUE	p	NA	y	7.52	15.06	NA	f	d	e
2.86	x	d	w	FALSE	a	d	w	3.83	2.48	NA	f	g	p
13.71	f	h	e	FALSE	e	NA	w	17.3	16.89	s	p	d	p
1.54	b	h	n	FALSE	a	NA	n	4.34	1.35	NA	f	h	p
10.19	x	t	n	TRUE	p	NA	y	8.79	22.86	NA	f	d	e
11.45	x	s	y	FALSE	a	d	w	10.18	16.96	NA	NA	d	e
10.16	f	t	n	TRUE	d	c	n	5.64	13.14	NA	f	h	p
7.35	p	g	n	FALSE	e	NA	w	7.65	15.23	NA	p	d	p
9.12	p	y	w	FALSE	NA	NA	k	19.38	19.79	NA	f	d	p
8.59	x	h	y	FALSE	p	NA	y	7.88	14.74	NA	NA	d	e
3.48	b	w	u	FALSE	a	c	g	5.77	5.28	NA	f	l	p
6.44	f	s	n	FALSE	x	c	w	7.03	9.85	NA	f	l	e
1.38	x	s	y	FALSE	a	NA	w	6.09	1.82	NA	f	d	e
1.23	c	g	n	FALSE	a	NA	w	4.9	1.28	NA	f	d	e
3.77	x	NA	w	FALSE	x	c	p	8.22	3.96	NA	f	d	p
1.04	b	g	w	FALSE	NA	NA	g	3.31	1.68	NA	f	d	e
2.23	f	t	n	FALSE	NA	NA	y	7.8	3.54	NA	f	g	p
2.24	b	g	y	FALSE	NA	c	n	6.22	2.89	NA	f	m	p
3.83	f	l	n	FALSE	x	d	e	6.37	5.02	NA	f	d	p
13.16	f	s	n	FALSE	a	d	w	9.74	17.45	NA	NA	d	e
1.65	b	t	n	FALSE	a	NA	n	4.49	1.64	NA	f	d	p
3.17	b	t	n	FALSE	NA	NA	n	9.37	5.86	NA	NA	g	p
3.22	x	h	n	FALSE	NA	c	k	4.99	6.38	NA	f	d	e
6.24	f	h	e	FALSE	x	NA	w	13.52	8.07	r	f	d	p
1.54	x	k	n	FALSE	NA	NA	n	4.37	1.5	NA	f	d	p
7.23	x	s	n	FALSE	s	NA	n	5.15	7.29	NA	f	d	p
13.21	f	NA	n	FALSE	e	NA	w	11.79	18.01	NA	e	d	p
3.84	x	i	e	FALSE	NA	NA	e	5.17	5.25	NA	f	d	p
9.77	s	NA	n	FALSE	s	c	u	7.65	20.01	NA	f	d	e
NA	f	s	u	FALSE	a	c	w	4.71	13.55	NA	f	d	e
0.97	p	g	g	FALSE	NA	NA	g	2.89	1.53	NA	f	d	e
3.26	b	y	n	FALSE	NA	c	g	5.6	4.53	s	f	d	p
6.35	f	s	n	FALSE	x	c	w	7.04	10.43	NA	f	l	e
7.31	x	i	y	FALSE	a	c	n	8.75	9.6	NA	z	g	p
5.79	s	d	o	FALSE	d	c	y	2.99	6.07	NA	f	h	p
8.47	x	e	e	FALSE	a	NA	g	8.54	10.58	NA	z	d	p
8.8	x	h	n	TRUE	p	NA	n	7.19	18.09	NA	p	d	e
4.38	x	NA	w	FALSE	a	NA	r	6.69	7.66	NA	f	l	e
4.17	f	NA	w	FALSE	x	c	p	8.66	3.86	NA	f	l	p
4.01	x	h	n	FALSE	a	d	y	7.35	6.43	NA	f	d	e
6.83	x	NA	g	TRUE	p	NA	g	12.08	24.82	NA	f	d	e
6.46	f	d	e	TRUE	d	c	w	5.83	8.85	NA	f	d	p
5.83	c	i	y	FALSE	NA	c	r	5.87	7.06	NA	f	d	p
1.42	x	NA	n	FALSE	NA	NA	n	4.96	2.4	NA	f	g	p
